word,word_book,definition,CEFR,tag,phonetic
nick,"[""greA""]",v.. 放弃，遗弃 ; n.. 支持者；律师,B2,null,/nɪk/
nickel,"[""cet6"", ""tem4"", ""ielts"", ""toefl""]",n.. 镍；五分镍币,C1,"```json
[""Tech"", ""Economy"", ""Science"", ""Environment""]
```",/ˈnɪkəl/
nickname,"[""cet6"", ""tem4""]",n.. 绰号，昵称 ; v.. 给...起绰号,B1,null,/ˈnɪkneɪm/
nicotine,"[""tem8"", ""greA""]",n.. 尼古丁,C2,"```json
[""Health"", ""Science""]
```",/ˈnɪkətiːn/
niece,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",n.. 侄女；外甥女,B1,null,/niːs/
nigh,"[""tem8""]",adv.. 接近，靠近 ; adj.. 接近的，不远的,C2,null,/naɪ/
night,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",n.. 夜晚,A1,null,/naɪt/
night-club,"[""midschool""]",n.. 夜总会,B1,null,/ˈnaɪtˌklʌb/
nightclub,"[""tem4""]",n.. 夜总会,B2,null,/ˈnaɪtklʌb/
nightgown,"[""tem4""]",n.. 睡袍,C2,null,/ˈnaɪtˌɡaʊn/
nightingale,"[""tem4""]",n.. 夜莺,A1,null,/ˈnaɪtɪŋɡeɪl/
nightmare,"[""cet6"", ""tem4"", ""ielts"", ""greA""]",n.. 噩梦；可怕的事物,B2,null,/ˈnaɪtˌmɛər/
nil,"[""greA""]",n.. 零；无,C2,null,/nɪl/
nimble,"[""tem8"", ""toefl""]",adj.. 敏捷的，灵活的,C2,null,/ˈnɪmbəl/
nine,"[""midschool"", ""cet4"", ""tem4""]",num.. 九,A1,"```json
[""Sports"", ""History"", ""Literature""]
```",/naɪn/
nineteen,"[""midschool"", ""cet4"", ""tem4""]",num.. 十九,A1,null,/naɪnˈtiːn/
nineteenth,"[""tem4""]",num.. 第十九 ; n.. 十九分之一,C1,null,/naɪnˈtiːnθ/
ninety,"[""midschool"", ""cet4"", ""tem4""]",num.. 九十,A1,null,/ˈnaɪnti/
ninth,"[""midschool"", ""cet4"", ""tem4""]",num.. 第九,C1,null,/naɪnθ/
nip,"[""tem8"", ""greA""]",v.. 掐；夹；咬 ; n.. 少量；寒冷,C2,null,/nɪp/
nipple,"[""tem8""]",n.. 乳头；奶嘴,C2,null,/ˈnɪpəl/
nirvana,"[""tem8""]",n.. 涅槃；极乐世界,C2,"```json
[""Art"", ""History"", ""Religion"", ""Literature""]
```",/nɪrˈvɑːnə/
nitpick,"[""greA""]",v.. 挑剔，吹毛求疵,C2,null,/ˈnɪtˌpɪk/
nitrate,"[""tem8""]",n.. 硝酸盐 ; v.. 硝化,C1,"```json
[""Science"", ""Environment"", ""Health""]
```",/ˈnaɪtreɪt/
nitrogen,"[""cet4"", ""tem4"", ""ielts"", ""toefl""]",n.. 氮,C1,"```json
[""Science"", ""Environment"", ""Health""]
```",/ˈnaɪtrədʒən/
no,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",interj.. 不 ; adv.. 不 ; adj.. 没有 ; n.. 否定,A1,null,/noʊ/
nobility,"[""tem4"", ""ielts""]",n.. 贵族；高贵,B2,,/noʊˈbɪlɪti/
noble,"[""highschool"", ""cet4"", ""tem4""]",adj.. 高贵的；高尚的 ; n.. 贵族,B2,null,/ˈnoʊbəl/
nobleman,"[""tem4""]",n.. 贵族,B2,null,/ˈnəʊbəlmən/
nobody,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",pron.. 没有人,A2,null,/ˈnoʊbɒdi/
nocturnal,"[""toefl"", ""greA""]",adj.. 夜间的，夜间活动的,C2,null,/nɒkˈtɜːrnəl/
nod,"[""midschool"", ""highschool"", ""cet4"", ""tem4"", ""toefl""]",v.. 点头 ; n.. 点头,B2,null,/nɒd/
node,"[""tem8""]",n.. 节点；结点 ; n.. 瘤，节,C1,null,/noʊd/
noise,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",n.. 噪音；响声 ; v.. 谣传；大声讲话,A1,null,/nɔɪz/
noisily,"[""midschool""]",adv.. 吵闹地,B1,null,/ˈnɔɪzəli/
noisome,"[""greA""]",adj.. 恶臭的；令人不快的,C2,null,/ˈnɔɪsəm/
noisy,"[""midschool"", ""highschool"", ""cet4"", ""tem4"", ""ielts""]",adj.. 吵闹的，嘈杂的,A2,null,/ˈnɔɪzi/
nomad,"[""tem8"", ""greA""]",n.. 游牧者；流浪者,B2,"```json
[""Economy"", ""Society"", ""Travel""]
```",/ˈnoʊmæd/
nomadic,"[""tem8"", ""toefl"", ""greA""]",adj.. 游牧的；流浪的,C2,"```json
[""History"", ""Society"", ""Travel""]
```",/noʊˈmædɪk/
nomenclature,"[""tem8""]",n.. 命名法；术语,C2,null,/ˈnoʊmənˌkleɪtʃər/
nominal,"[""tem8"", ""ielts"", ""greA""]",adj.. 名义上的；微不足道的,C1,null,/ˈnɒmɪnəl/
nominate,"[""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 提名；任命 ; n.. 被提名者,C2,null,/ˈnɒmɪneɪt/
nomination,"[""tem4"", ""ielts""]",n.. 提名；任命,B2,null,/ˌnɒmɪˈneɪʃən/
