word,word_book,definition,CEFR,tag,phonetic
a,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",art.. 一（个）,A1,null,/ə/
abacus,"[""tem8""]",n.. 算盘,C2,"```json
[""Tech"", ""Science"", ""History"", ""Education""]
```",/ˈæbəkəs/
abandon,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 放弃，遗弃 ; n.. 放任，放纵,B1,null,/əˈbændən/
abandonment,"[""cet6"", ""ielts""]",n.. 放弃，遗弃,B1,null,/əˈbændənmənt/
abase,"[""tem8""]",v.. 贬低；使谦卑,C2,null,/əˈbeɪs/
abash,"[""greA""]",v.. 使羞愧，使窘迫,C2,null,əˈbæʃ
abashed,"[""toefl""]",adj.. 窘迫的，羞愧的,C2,null,/əˈbæʃt/
abate,"[""tem8"", ""toefl"", ""greA""]",v.. 减轻；减少,C2,null,/əˈbeɪt/
abbey,"[""tem4""]",n.. 修道院；大教堂,C2,null,/ˈæb.i/
abbreviate,"[""tem8"", ""toefl"", ""greA""]",v.. 缩写，简略,C2,null,/əˈbriːvieɪt/
abbreviation,"[""cet6"", ""tem8"", ""ielts""]",n.. 缩写,C2,null,/əˌbriːviˈeɪʃən/
abc,"[""tem4""]",n.. 字母表；基础知识 ; v.. 照字母顺序排列,C1,null,/eɪ biː siː/
abdicate,"[""tem8"", ""toefl"", ""greA""]",v.. 放弃，退位,C2,"```json
[""History"", ""Politics"", ""Laws""]
```",/ˈæb.dɪ.keɪt/
abdomen,"[""tem4""]",n.. 腹部,C2,null,/ˈæbdəmən/
abdominal,"[""tem8""]",adj.. 腹部的,C1,null,æbˈdɒmɪnəl
abduct,"[""tem8"", ""toefl""]",v.. 绑架，劫持,C2,null,/əbˈdʌkt/
aberrant,"[""tem8"", ""greA""]",adj.. 异常的，偏离的,C2,null,/əˈberənt/
aberration,"[""greA""]",n.. 偏离；反常 ; adj.. 畸变的,C2,null,/ˌæbəˈreɪʃən/
abet,"[""greA""]",v.. 教唆；煽动,C2,null,/əˈbɛt/
abeyance,"[""ielts"", ""greA""]",n.. 中止，暂缓,C2,null,/əˈbeɪəns/
abhor,"[""tem8"", ""toefl"", ""greA""]",v.. 憎恶，厌恶,C2,null,/əbˈhɔːr/
abhorrent,"[""toefl"", ""greA""]",adj.. 令人憎恶的；可恶的,C2,null,/əbˈhɒrənt/
abide,"[""cet6"", ""tem8"", ""ielts"", ""greA""]",v.. 忍受；遵守,C2,null,/əˈbaɪd/
abiding,"[""tem8""]",adj.. 持久的，永久的,C2,null,/əˈbaɪdɪŋ/
ability,"[""midschool"", ""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl""]",n.. 能力，才能,A2,null,/əˈbɪlɪti/
abject,"[""tem8"", ""greA""]",adj.. 凄惨的；卑贱的,C2,null,/ˈæb.dʒɛkt/
abjure,"[""greA""]",v.. 放弃，断绝,C2,null,/əbˈdʒʊər/
ablaze,"[""tem8"", ""toefl""]",adj.. 着火的；闪耀的 ; v.. 燃烧；发光,C2,null,/əˈbleɪz/
able,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",adj.. 能够的；有能力的,B1,null,/eɪbəl/
ablution,"[""greA""]",n.. 沐浴；净礼,C2,null,/əˈbluːʃən/
ably,"[""tem8""]",adv.. 能干地，巧妙地,C2,null,/ˈeɪbli/
abnegate,"[""greA""]",v.. 放弃，遗弃,C2,null,/ˈæbnɪɡeɪt/
abnormal,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl""]",adj.. 反常的，异常的,B1,null,/æbˈnɔːrməl/
abnormality,"[""tem8""]",n.. 异常，畸形,C2,null,/ˌæbnɔːrˈmæləti/
abnormally,"[""cet6""]",adv.. 异常地,B2,null,æbˈnɔːrməli
aboard,"[""highschool"", ""cet4"", ""tem4"", ""ielts""]",adv.. 在船（或飞机、车）上 ; prep.. 在（船、飞机、车）上,B1,null,/əˈbɔːrd/
abode,"[""tem8""]",n.. 住所，住处,C2,null,/əˈboʊd/
abolish,"[""highschool"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 废除，废止,B2,"```json
[""Economy"", ""History"", ""Politics"", ""Laws"", ""Society""]
```",/əˈbɒlɪʃ/
abolition,"[""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",n.. 废除；废止,C2,"```json
[""History"", ""Politics"", ""Laws"", ""Society""]
```",/ˌæbəˈlɪʃən/
abominable,"[""tem8""]",adj.. 可恶的；极坏的,C2,null,/əˈbɒmɪnəbəl/
abominate,"[""greA""]",v.. 憎恶，厌恶,C2,null,/əˈbɒmɪneɪt/
aboriginal,"[""tem4"", ""toefl""]",adj.. 土著的；原始的 ; n.. 土著居民；原住民,B2,null,/ˌæbəˈrɪdʒənl/
aborigine,"[""tem4""]",n.. 土著居民；原住民,B1,null,/ˌæbəˈrɪdʒəni/
abort,"[""tem8"", ""toefl""]",v.. 放弃；中止 ; n.. 中止；流产,C2,"```json
[""Health"", ""Politics"", ""Laws"", ""Society""]
```",/əˈbɔːrt/
abortion,"[""highschool"", ""ielts""]",n.. 流产；堕胎,C1,,/əˈbɔːrʃən/
abortive,"[""ielts"", ""toefl""]",adj.. 失败的；夭折的,C2,null,/əˈbɔːrtɪv/
abound,"[""tem4"", ""toefl""]",v.. 大量存在；充满,C2,null,/əˈbaʊnd/
about,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",prep.. 关于；大约 ; adv.. 大约；周围,A1,null,/əˈbaʊt/
above,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",prep.. 在...之上 ; adv.. 在上面,A2,null,/əˈbʌv/
aboveboard,"[""tem8"", ""greA""]",adj.. 光明正大的，公开的,C2,null,/əˈbʌvˌbɔːrd/
abrade,"[""greA""]",v.. 磨损；擦伤,C2,null,əˈbreɪd
abrasion,"[""toefl"", ""greA""]",n.. 磨损；擦伤 ; v.. 磨损；擦伤,C2,"```json
[""Tech"", ""Science"", ""Health""]
```",əˈbreɪʒən
abrasive,"[""tem8"", ""greA""]",adj.. 粗糙的；磨蚀的 ; n.. 研磨材料,C2,"```json
[""Tech"", ""Art"", ""Health"", ""Fashion""]
```",/əˈbreɪsɪv/
abreast,"[""tem8"", ""toefl"", ""greA""]",adv.. 并肩地；并排地,C2,null,/əˈbrɛst/
abridge,"[""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 删节；缩短 ; n.. 删节本,C2,null,/əˈbrɪdʒ/
abroad,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",adv.. 在国外，到国外,A2,null,/əˈbrɔːd/
abrogate,"[""ielts"", ""greA""]",v.. 废除；取消,C2,"```json
[""Laws"", ""Politics""]
```",/ˈæb.rə.ɡeɪt/
abrupt,"[""highschool"", ""cet6"", ""tem4"", ""ielts"", ""toefl""]",adj.. 突然的；唐突的,C1,null,/əˈbrʌpt/
abruptly,"[""tem4""]",adv.. 突然地,B2,null,/əˈbrʌptli/
abscission,"[""greA""]",n.. 脱离；脱落,C2,"```json
[""Science"", ""Health"", ""Environment""]
```",/æbˈsɪʒən/
abscond,"[""greA""]",v.. 潜逃；逃遁,C2,null,/əbˈskɒnd/
absence,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl""]",n.. 缺席；缺乏,B1,null,/ˈæbsəns/
absent,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts""]",adj.. 缺席的；不在的 ; v.. 缺席；不参加,B1,null,/ˈæbsənt/
absent-minded,"[""tem4""]",adj.. 心不在焉的,B2,null,/ˌæbsənt ˈmaɪndɪd/
absentee,"[""tem8""]",n.. 缺席者；缺勤者,B2,null,/ˌæbsənˈtiː/
absenteeism,"[""greA""]",n.. 旷工；缺勤,C2,"```json
[""Economy"", ""Education"", ""Health"", ""Society""]
```",/ˌæbsənˈtiːɪzəm/
absolute,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",adj.. 绝对的；完全的 ; n.. 绝对事物,B1,null,/ˈæbsəluːt/
absolutely,"[""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl""]",adv.. 绝对地；完全地,B1,null,/ˈæbsəluːtli/
absolve,"[""tem4"", ""toefl"", ""greA""]",v.. 免除；赦免,C2,null,/əbˈzɒlv/
absorb,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 吸收；吸引 ; v.. 理解；掌握,B1,null,/əbˈsɔːrb/
absorbing,"[""toefl""]",adj.. 引人入胜的,B1,null,/əbˈsɔːrbɪŋ/
absorption,"[""cet6"", ""tem4"", ""ielts""]",n.. 吸收；专注,C1,"```json
[""Science"", ""Health"", ""Environment""]
```",/əbˈsɔːrpʃən/
abstain,"[""tem8"", ""toefl"", ""greA""]",v.. 放弃；戒除,C2,null,/əbˈsteɪn/
abstemious,"[""greA""]",adj.. 有节制的；节俭的,C2,null,/æbˈstiːmiəs/
abstention,"[""tem8"", ""greA""]",n.. 弃权；节制,C2,null,/əbˈstenʃən/
abstentious,"[""greA""]",adj.. 节制的；有节制的,C2,null,/əbˈstɛnʃəs/
abstinence,"[""tem8"", ""toefl""]",n.. 节制；禁欲,C2,null,/ˈæbstɪnəns/
abstract,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",adj.. 抽象的 ; n.. 摘要；抽象 ; v.. 提取；摘要,B1,"```json
[""Art"", ""Literature"", ""Science"", ""Education""]
```",/ˈæbˌstrækt/
abstraction,"[""toefl""]",n.. 抽象；抽象概念,B1,null,/əbˈstrækʃən/
abstruse,"[""toefl"", ""greA""]",adj.. 深奥的，难解的,C2,null,/əbˈstruːs/
absurd,"[""highschool"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",adj.. 荒谬的,B2,null,/əbˈsɜːrd/
absurdity,"[""ielts""]",n.. 荒谬，荒唐,B2,null,/əbˈsɜːrdɪti/
abundance,"[""cet6"", ""tem4"", ""ielts"", ""greA""]",n.. 丰富，充裕,B1,null,/əˈbʌndəns/
abundant,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",adj.. 丰富的，充裕的,B1,null,/əˈbʌndənt/
abuse,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 滥用；虐待；辱骂 ; n.. 滥用；虐待；辱骂,B2,null,/əˈbjuːz/
abusive,"[""tem8"", ""greA""]",adj.. 辱骂的；虐待的,C2,null,/əˈbjuːsɪv/
abut,"[""greA""]",v.. 邻接，毗连,C2,null,/əˈbʌt/
abysmal,"[""greA""]",adj.. 极坏的；极度的,C2,null,/əˈbɪzməl/
abyss,"[""tem8""]",n.. 深渊,B2,null,/əˈbɪs/
academic,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",adj.. 学术的；学院的 ; n.. 学者；大学教师,B1,"```json
[""Science"", ""Education"", ""Literature"", ""History"", ""Society""]
```",/ˌækəˈdɛmɪk/
academician,"[""tem8"", ""greA""]",n.. 院士；学者,C2,null,/əˌkædəˈmɪʃən/
academy,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl""]",n.. 学院；学会,B1,"```json
[""Education"", ""Science"", ""Art"", ""Literature"", ""Sports""]
```",/əˈkædəmi/
accede,"[""tem8"", ""ielts"", ""greA""]",v.. 同意；就任,C2,null,/əkˈsiːd/
accelerate,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 加速；加快 ; v.. 促进,C1,"```json
[""Tech"", ""Economy"", ""Science"", ""Environment"", ""Health"", ""Sports"", ""Travel""]
```",/əkˈsɛləreɪt/
acceleration,"[""cet4"", ""ielts""]",n.. 加速；加速度,B2,"```json
[""Tech"", ""Science"", ""Sports""]
```",/əkˌsɛləˈreɪʃən/
accent,"[""highschool"", ""cet4"", ""tem4""]",n.. 口音；重音 ; v.. 强调；重读,B1,null,/ˈæksent/
accentuate,"[""tem8"", ""toefl"", ""greA""]",v.. 强调；突出,C2,null,/əkˈsɛntʃuˌeɪt/
accept,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",v.. 接受；认可 ; n.. 接受；接纳,A2,null,/əkˈsɛpt/
acceptable,"[""cet4"", ""tem4""]",adj.. 可接受的,A2,null,/əkˈsɛptəbəl/
acceptance,"[""cet4"", ""tem4""]",n.. 接受；认可 ; v.. 接受；承认,B1,null,/əkˈsɛptəns/
access,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 进入；访问 ; n.. 通道；使用权,B2,"```json
[""Tech"", ""Economy"", ""Science"", ""Health"", ""Education"", ""Society"", ""Laws"", ""Travel""]
```",/ˈækses/
accessible,"[""highschool"", ""tem8"", ""ielts"", ""toefl"", ""greA""]",adj.. 可到达的；可使用的；易懂的,B1,null,/əkˈsesəbəl/
accession,"[""tem8""]",n.. 加入；就职；登基 ; v.. 登记入册,B2,null,/əkˈsɛʃən/
accessory,"[""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",n.. 附件；配件 ; adj.. 附属的；辅助的,B1,"```json
[""Fashion"", ""Tech"", ""Art"", ""Media""]
```",/əkˈsɛsəri/
accident,"[""midschool"", ""highschool"", ""cet4"", ""tem4"", ""ielts""]",n.. 事故；意外 ; v.. 偶然发生,A2,null,/ˈæksɪdənt/
